# цікаві факти — база для ai overlay
# формат: категорія | факт
# ai аналізує кадр камери і вибирає релевантний факт

book|Книга біля ліжка нагадує читати. Звичка формується за 21 день.
book|Бібліотека в телефоні — книги завжди під рукою. Аудіокниги під час прогулянки.
book|Автори пишуть для тебе години. 300 сторінок = місяці роботи. Цінуй це.
book|Переривання під час читання знижують розуміння. Один розділ без телефону.
book|Книги змінюють погляд на світ. Кожна прочитана — новий фільтр сприйняття.

water|Мозок на 75% — вода. 2% зневоднення = 20% падіння концентрації.
water|Склянка вранці запускає метаболізм. Холодна вода — додатковий ефект.
water|8 склянок — міф. Потреба індивідуальна. Колір сечі — індикатор.
water|Вода перед їжею знижує апетит. Хочеш схуднути — пий за 30 хв до їжі.
water|Пластикова пляшка виділяє мікрочастинки. Скло або метал — безпечніше.
water|Гаряча вода з лимоном вранці — детокс, вітамін C, підвищення pH.
water|Солона вода після тренування відновлює електроліти. Щіпка солі в воду.
water|Вода з кімнатної температури краще всмоктується ніж холодна.
water|Спрага вже означає 1–2% зневоднення. Пий до того як захочеш.
water|Фруктова вода без цукру — смачна альтернатива. М'ята, лимон, огірок.

food|Їжа в кімнаті приваблює комах. Їж на кухні — спи в спальні.
food|Тарелка меншого розміру зменшує порцію на 30%. Візуальна обманівка.
food|Жуй повільно. Сигнал ситості йде 20 хвилин. Швидка їжа = переїдання.
food|Білок на тарілці дає ситість на 4 години. Вуглеводи — на 1–2.
food|Кольорові овочі = різні вітаміни. Їж райдугу на тарілці.
food|Їжа перед екраном збільшує порцію на 40%. Відволікання = переїдання.
food|Фрукти на видному місці — збільшують споживання. Поклади яблуко на стіл.
food|Голод і спрага схожі. Хочеш їсти — спочатку випий воду.
food|Пробиотики в йогурті покращують настрій. Кишківник — другий мозок.
food|Темна шоколадка 70%+ знижує стрес. Флавоноїди для мозку.

phone|Середній час на телефоні — 3–4 години на день. Скільки твої?
phone|Синє світло екрана пригнічує мелатонін. Нічний режим — обов'язково.
phone|Кожне сповіщення — мікростріс. Вимкни все крім важливого.
phone|Скролінг соцмереж активує дофамін. Мозок звикає. Цифровий детокс допомагає.
phone|Телефон в спальні погіршує сон. Заряджай в іншій кімнаті.
phone|Режим літачка під час роботи. Без сповіщень — глибший фокус.
phone|Червоні точки на іконках тригерять. Прибери бейджі з додатків.
phone|Відповідь не одразу — це нормально. Не кожен месенджер потребує миттєвої реакції.
phone|Екран перед сном відкладає засипання на 30–60 хв. Книга замість скролу.
phone|Фізичні кнопки гучності — швидше ніж екран. Маленькі перемоги.

nature|Зелений колір знижує стрес. Подивись на дерево 20 секунд.
nature|Прогулянка в парку покращує креативність на 50%. Природа = ідеї.
nature|Кімнатні рослини знижують шум на 5 дБ. І фільтрують повітря.
nature|Сонячне світло регулює циркадний ритм. 10 хв на вулиці вранці.
nature|Звуки природи (дощ, ліс) знижують кортизол. Фонова музика для роботи.
nature|Грунт містить бактерії що підвищують серотонін. Садівництво = антидепресант.
nature|Вид з вікна на дерева знижує стрес. Навіть фото природи допомагає.
nature|Свіже повітря підвищує рівень кисню в крові. Мозок працює краще.
nature|Босий контакт з землею — заземлення. Електрони від землі знижують запалення.
nature|Квіти в кімнаті підвищують настрій. Кольори і аромати впливають.

exercise|10 хвилин руху підвищують енергію на 2 години. Коротка прогулянка.
exercise|Стретчинг кожні 2 години знижує болі в спині. Офісна гімнастика.
exercise|Присідання активують великі м'язові групи. Метаболізм прискорюється.
exercise|Ходьба після їжі знижує цукор в крові. 15 хв після обіду.
exercise|Силові тренування зміцнюють кістки. Після 30 — це критично.
exercise|Кардіо вивільняє ендорфіни. 20 хв бігу = природний антидепресант.
exercise|Йога знижує кортизол. Дихання + рух = спокій.
exercise|Планка 1 хв = цілий комплекс для кору. Без обладнання.
exercise|Сходи замість ліфта. 5 поверхів = міні-тренування.
exercise|Танці під музику — кардіо + настрій. Рух = радість.

sleep|7–9 годин сну — не розкіш, а необхідність. Мозок чистить токсини.
sleep|Режим сну важливіший за тривалість. Однаковий час підйому.
sleep|Темна кімната = глибокий сон. Штори або маска.
sleep|Температура тіла падає перед сном. Прохолодний душ допомагає.
sleep|Кafeїн живе 6 годин. Після 14:00 — ризик для сну.
sleep|Ліжко тільки для сну. Мозок асоціює місце з дією.
sleep|Дрімота 20 хв відновлює. Більше 30 — погано для ночі.
sleep|Сон на боці покращує дренаж мозку. Глімфатична система.
sleep|Відстань до телефону — мінімум 1 м. ЕМП і спокуса.
sleep|Ритуал перед сном: книга, розтяжка, медитація. Сигнал для мозку.

light|Яскраве світло вранці скидає циркадний ритм. Вікно на 10 хв.
light|Тепле світло ввечері готує до сну. 2700K замість 5000K.
light|Мігання LED може викликати втому очей. Якісні лампи мають драйвер.
light|Натуральне світло підвищує продуктивність. Стіл біля вікна.
light|Синє світло вранці піднімає. Ввечері — приглушуй.
light|Темрява для сну — 0 люкс. Навіть світлодіод годинника заважає.
light|Розсіяне світло краще прямих променів. М'які тіні = комфорт.
light|Світло влітку і взимку різне. СAD-лампи імітують сонце.
light|Монітор з підвищеною яскравістю вранці. Ввечері — знижуй.
light|Світло впливає на гормони. Мелатонін, серотонін, кортизол.

person|Зіткнення поглядів активує соціальні нейрони. Очний контакт.
person|Посмішка знижує стрес навіть фальшива. М'язи обличчя → мозок.
person|Пряма постава підвищує впевненість. Тіло впливає на психіку.
person|Глибоке дихання активує парасимпатику. 4-7-8: вдих 4, затримка 7, видих 8.
person|Розтяжка шиї знижує напругу. 8 годин за комп'ютером = затиснення.
person|Мікроперерви кожні 20 хв. Правило 20-20-20: 20 сек на об'єкт 20 м.
person|Вода на столі — нагадування. Спрага часто плутають з голодом.
person|Температура тіла пік о 16–18. План важливі справи на цей час.
person|Ранковий холодний душ підвищує дофамін. 30 секунд достатньо.
person|Тіло рухається — мозок працює. Найкращі ідеї під час прогулянки.

object|Кожна річ на столі — рішення. Менше речей = менше втоми.
object|Червоні предмети привертають увагу. Використовуй для важливого.
object|Зелений олівець замість червоного. Позитивний фідбек змінює підхід.
object|Старі речі тримають минуле. Розбирай раз на рік — відпускай.
object|Один вхід для паперів. Inbox zero для фізичних об'єктів.
object|Коробки з мітками. Все має місце. Пошук = 0.
object|Мінімалізм не про порожнє. Про те що залишилось — важливе.
object|Речі на видному місці виконуються. Приховане — забуте.
object|Якість над кількістю. Одна добра річ замість десяти дешевих.
object|Подаруй те чим не користуєшся. Речі мають служити.

screen|Правило 20-20-20: кожні 20 хв — 20 сек на об'єкт за 20 футів (6 м).
screen|Моргання знижується перед екраном. Свідомо моргай — захист очей.
screen|Відстань до монітора — довжина руки. Занадто близько = напруга.
screen|Верх екрана на рівні очей. Шия в нейтральній позі.
screen|Нічний режим з 18:00. Менше синього = кращий сон.
screen|Яскравість екрана = яскравість кімнати. Контраст втомлює.
screen|Великий шрифт зменшує напругу очей. 14–16 pt для тексту.
screen|Темна тема знижує втому в темряві. Світла — для дня.
screen|Синій фільтр не вирішує все. Режим сну — комплексний підхід.
screen|Екран перед сном = пізніше засипання. Книга або подкаст.

exercise|10 хв руху на день знижує ризик смерті на 15%. Рух — це життя.
exercise|Прогулянка після їжі знижує цукр у крові. 15 хв достатньо.
exercise|Розтяжка вранці пробуджує тіло. 5 хв — і готовий до дня.
exercise|Силові вправи 2 рази на тиждень зміцнюють кістки. Профілактика остеопорозу.
exercise|Сходи замість ліфта — мікротренажер. 5 поверхів = 50 калорій.
exercise|Танці під музику знижують стрес. Рух + музика = подвійний ефект.
exercise|Планка 1 хв вранці активує кор. Сильний кор = здорова спина.
exercise|Велосипед до роботи економить час і здоров'я. Подвійна вигода.
exercise|Йога знижує кортизол. Стрес виходить через тіло.
exercise|Підйом по сходах — HIIT без залу. Серце і ноги дякують.

nature|Ліс знижує кортизол на 15%. Шинрін-йоку — лікування лісом.
nature|Зелений колір заспокоює очі. 20 сек на дерево = перезавантаження.
nature|Грунт містить мікроби що підвищують серотонін. Садівництво = антидепресант.
nature|Пташиний спів знижує тривогу. Природа має свої звуки.
nature|Свіже повітря підвищує кисень у крові. Мозок працює краще.
nature|Сонце дає вітамін D. 15 хв на день — норма для шкіри.
nature|Квіти в кімнаті піднімають настрій. Навіть одна ваза.
nature|Дощовий звук заспокоює. Білий шум природи.
nature|Море або озеро — негативні іони. Відновлення після стресу.
nature|Зима = менше світла. Виходи на вулицю в обідню перерву.

hygiene|Чисті руки знижують інфекції на 50%. 20 сек миття.
hygiene|Зубна нитка раз на день — профілактика серця. Рот пов'язаний з організмом.
hygiene|Душ вранці пробуджує. Ввечері — розслабляє.
hygiene|Чиста постіль — менше алергенів. Міняй простирадла раз на тиждень.
hygiene|Вентиляція після душу знижує вологість. Плесень не любить сухе.
hygiene|Розчісування волосся стимулює кровообіг. 100 рухів вранці.
hygiene|Вітамін D і кальцій для зубів. Зубна щітка + харчування.
hygiene|Крем для рук після миття. Шкіра не пересихає.
hygiene|Повітря у приміщенні гірше ніж зовні. Провітрюй 3 рази на день.
hygiene|Порядок у ванній = порядок в голові. Мінімалізм скрізь.
